"Data Source","World Development Indicators",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.0309026952269","88.2341286586243","88.4571722319779","88.6878398317561","88.9185327648482","89.1491045548132","89.3798500479523","89.6104696374139","89.8412620835162","90.0719230280142","90.3025970300034","90.5332906665256","90.7640014188273","90.9987016315075","91.2374729178599","91.480572190435","91.7279143880493","91.9795911262643","92.2358515104765","92.4966218956113","92.7619845664061","93.0320229848765","93.3068358390677","93.5674537130871","93.6649426520095",
"American Samoa","ASM","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.2935163766246","62.2856155405329","62.2777147044412","62.2698138683495","62.2619130322578","62.254012196166","62.2461113600743","62.2382105239826","62.2303096878909","62.2224088517992","62.2145080157075","62.2066071796158","62.1987063435241","62.1908055074324","62.1829046713407","62.1750038352489","62.1671029991572","62.1592021630655","62.1513013269738","62.1434004908821","62.1354996547904","62.1275988186987","62.119697982607","62.119697982607","62.119697982607",
"Antigua and Barbuda","ATG","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.7653410086149","85.5344312360032","86.312524859028","87.0891468581108","87.8643554393161","88.6381274061459","89.410528383537","90.181534098799","90.9512112125374","91.7194750028069","92.4864478668601","93.2510130109521","94.0042537403254","94.7571352497532","95.5096665851238","96.2618760462753","97.0132411183707","97.7638078582703","98.5136876135771","99.0899721182438","99.6041813873018","99.6050402706189","99.605594345624","99.6058209466968","99.6057190215246",
"Australia","AUS","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9911608638651","99.9916171040366","99.9920733442082","99.9925295843797","99.9929858245512","99.9934420647228","99.9938983048943","99.9943545450659","99.9948107852374","99.9952670254089","99.9957232655805","99.996179505752","99.9966357459236","99.9970919860951","99.9975482262667","99.9980044664382","99.9984607066097","99.9989169467813","99.9993731869528","99.9998294271244","100","100","100","100","100",
"Austria","AUT","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9999792345879","99.9999909725854","100","99.9983790003902","99.996535576376","99.9947064734973","99.9928944921009","99.9911017476995","99.9893276003394","99.9875707536701","99.9858335152594","99.9841152637766","99.982312100595","99.9804519832307","99.9785877606259","99.9767095192409","99.9748167576783","99.9729077052186","99.9728166060806","99.9727130295408","99.9726022326155","99.9724908948366","99.9723650796655","99.9722421586423","99.9721024074429",
"Azerbaijan","AZE","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.3537161993918","69.4110838151646","70.4645166968746","71.514349403103","72.5604073968308","73.9007809135916","75.2446071207106","76.5920244999871","77.9427910031062","79.2970479678594","80.6565618814243","82.0209823776921","83.3900771954371","84.7637227824749","86.1415854877427","87.5234598194959","88.9091129023182","90.2983404004094","91.6909287439115","93.0865984611418","94.4852164889199","95.8663117734363","96.9106527966691","97.9482163589564","98.9785069136854",
"Burundi","BDI","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.8832028889367","45.9762261657477","46.0714530473161","46.1690271798233","46.0744530371063","45.9780778470214","45.8797490696037","45.7793823625363","45.6767816936833","45.5719158266356","45.4645083129414","45.354450786345","45.2416177840798","45.125751746761","45.0067757440714","44.8844503584829","44.7585847024572","44.6289841238283","44.4954380894811","44.3577388229315","44.4548070620661","44.5545225988873","44.6569603684061","44.6456125902738","44.6339890793582",
"Belgium","BEL","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.484629951934","99.4847964563623","99.4849653278491","99.4851241629527","99.4852911508851","99.4854588007365","99.4856201119658","99.4857808585944","99.4859416700664","99.4861064041689","99.4861236387516","99.4861332173528","99.4861435479371","99.4861501236866","99.4861618443076","99.4861641764678","99.4861721928964","99.4861854185217","99.4861848733706","99.4861954289203","99.4862025266725","99.486206436114","99.4862152277247","99.4862165648512","99.486220664134",
"Benin","BEN","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.52812393636387","8.93975126867492","9.37391256843619","9.83877331929082","10.3155921363995","10.8039533008181","11.3039620341641","11.8157291558234","12.3390077692944","12.8733600744969","13.4190757934874","13.9760843860142","14.5443123134086","15.1233051054282","15.7143302277075","16.3169481534553","16.9310972411709","17.5567124078682","18.1937303852969","18.8420840944928","19.501704357901","20.1721169387367","20.853650768615","21.5460291941212","22.248968702791",
"Burkina Faso","BFA","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.8416258208353","9.13087025476494","10.0598427351821","11.0080883489168","11.9759949734472","12.9610876994314","13.9636797865369","14.9188541884319","15.8385590424802","16.7713190117343","17.717348101652","18.6760821491649","19.6465931645733","20.6283173579476","21.6210077487698","22.623723352134","23.6358671659231","24.6558918981723","25.6835548762607","26.7185691114763","27.7597483878875","28.8068022658045","29.8585926182987","30.9150753845811","31.7963485938203",
